ああ言う　　　　　　　　　　　　　　　　ああいう　　　　　　　　　　　　　　　　,R  .     ,
顎で使う　　　　　　　　　　　　　　　　あごでつかう　　　　　　　　　　　　　　,D W.  N  ,
顎の張る　　　　　　　　　　　　　　　　あごのはる　　　　　　　　　　　　　　　,D R.     ,
顎をしゃくる　　　　　　　　　　　　　　あごをしゃくる　　　　　　　　　　　　　,D R.     ,
顎を出す　　　　　　　　　　　　　　　　あごをだす　　　　　　　　　　　　　　　,D S.     ,
顎を外す　　　　　　　　　　　　　　　　あごをはずす　　　　　　　　　　　　　　,D S.     ,
朝起きする　　　　　　　　　　　　　　　あさおきする　　　　　　　　　　　　　　,D 4.   I ,
朝帰りする　　　　　　　　　　　　　　　あさがえりする　　　　　　　　　　　　　,D 4.   I ,
朝駆けする　　　　　　　　　　　　　　　あさがけする　　　　　　　　　　　　　　,D 4.   I ,
朝活する　　　　　　　　　　　　　　　　あさかつする　　　　　　　　　　　　　　,D 4.     ,
朝活動する　　　　　　　　　　　　　　　あさかつどうする　　　　　　　　　　　　,D 4.     ,
あざけり罵る　　　　　　　　　　　　　　あざけりののしる　　　　　　　　　　　　,D R.  NI ,
あざける　　　　　　　　　　　　　　　　あざける　　　　　　　　　　　　　　　　,D R.  NI ,
朝シャンする　　　　　　　　　　　　　　あさしゃんする　　　　　　　　　　　　　,D 4.   I ,
朝立ちする　　　　　　　　　　　　　　　あさだちする　　　　　　　　　　　　　　,D 4.   I ,
朝寝する　　　　　　　　　　　　　　　　あさねする　　　　　　　　　　　　　　　,D 4.   I ,
朝寝坊する　　　　　　　　　　　　　　　あさねぼうする　　　　　　　　　　　　　,D 4.  NI ,
欺く　　　　　　　　　　　　　　　　　　あざむく　　　　　　　　　　　　　　　　,D K.  NI ,
あさる　　　　　　　　　　　　　　　　　あさる　　　　　　　　　　　　　　　　　,D R.  NI ,
朝練する　　　　　　　　　　　　　　　　あされんする　　　　　　　　　　　　　　,D 4.     ,
あざ笑う　　　　　　　　　　　　　　　　あざわらう　　　　　　　　　　　　　　　,D W.  NI ,
足音を忍ばせる　　　　　　　　　　　　　あしおとをしのばせる　　　　　　　　　　,D 1.     ,
足がある　　　　　　　　　　　　　　　　あしがある　　　　　　　　　　　　　　　,D R.     ,
味が生きる　　　　　　　　　　　　　　　あじがいきる　　　　　　　　　　　　　　,D 1.     ,
足が奪われる　　　　　　　　　　　　　　あしがうばわれる　　　　　　　　　　　　,D 1.  N  ,
足がすくむ　　　　　　　　　　　　　　　あしがすくむ　　　　　　　　　　　　　　,D M.  N  ,
足が滑る　　　　　　　　　　　　　　　　あしがすべる　　　　　　　　　　　　　　,D R.  N  ,
足かせになる　　　　　　　　　　　　　　あしかせになる　　　　　　　　　　　　　,D R.  N  ,
足かせをはめる　　　　　　　　　　　　　あしかせをはめる　　　　　　　　　　　　,D 1.  N  ,
足固めする　　　　　　　　　　　　　　　あしがためする　　　　　　　　　　　　　,D 4.   I ,
足が地に着く　　　　　　　　　　　　　　あしがちにつく　　　　　　　　　　　　　,D K.  P  ,
足が付く　　　　　　　　　　　　　　　　あしがつく　　　　　　　　　　　　　　　,D K.  N  ,
足が出る　　　　　　　　　　　　　　　　あしがでる　　　　　　　　　　　　　　　,D 1.  N  ,
足が遠のく　　　　　　　　　　　　　　　あしがとおのく　　　　　　　　　　　　　,D K.  N  ,
足が止まる　　　　　　　　　　　　　　　あしがとまる　　　　　　　　　　　　　　,D R.  N  ,
足が棒になる　　　　　　　　　　　　　　あしがぼうになる　　　　　　　　　　　　,D R.  N  ,
足が乱れる　　　　　　　　　　　　　　　あしがみだれる　　　　　　　　　　　　　,D 1.  N  ,
足が向く　　　　　　　　　　　　　　　　あしがむく　　　　　　　　　　　　　　　,D K.     ,
足げにする　　　　　　　　　　　　　　　あしげにする　　　　　　　　　　　　　　,D 5.  N  ,
