ああ言う　　　　　　　　　　　　　　　　ああいう　　　　　　　　　　　　　　　　,R  .     ,
伏拝する　　　　　　　　　　　　　　　　ふくはいする　　　　　　　　　　　　　　,D 4.     ,
複比例する　　　　　　　　　　　　　　　ふくひれいする　　　　　　　　　　　　　,D 4.   M ,
伏兵に遭う　　　　　　　　　　　　　　　ふくへいにあう　　　　　　　　　　　　　,D W.  N  ,
含まる　　　　　　　　　　　　　　　　　ふくまる　　　　　　　　　　　　　　　　,D R.     ,
含み笑いする　　　　　　　　　　　　　　ふくみわらいする　　　　　　　　　　　　,D 4.     ,
含む　　　　　　　　　　　　　　　　　　ふくむ　　　　　　　　　　　　　　　　　,D M.     ,
服務する　　　　　　　　　　　　　　　　ふくむする　　　　　　　　　　　　　　　,D 4.   I ,
含む所がある　　　　　　　　　　　　　　ふくむところがある　　　　　　　　　　　,D R.  N  ,
復命する　　　　　　　　　　　　　　　　ふくめいする　　　　　　　　　　　　　　,D 4.   I ,
含める　　　　　　　　　　　　　　　　　ふくめる　　　　　　　　　　　　　　　　,D 1.   I ,
服喪する　　　　　　　　　　　　　　　　ふくもする　　　　　　　　　　　　　　　,D 4.   I ,
服薬する　　　　　　　　　　　　　　　　ふくやくする　　　　　　　　　　　　　　,D 4.   I ,
服用する　　　　　　　　　　　　　　　　ふくようする　　　　　　　　　　　　　　,D 4.   I ,
膨らす　　　　　　　　　　　　　　　　　ふくらす　　　　　　　　　　　　　　　　,D S.   I ,
膨らます　　　　　　　　　　　　　　　　ふくらます　　　　　　　　　　　　　　　,D S.   I ,
膨らむ　　　　　　　　　　　　　　　　　ふくらむ　　　　　　　　　　　　　　　　,D M.   M ,
伏流する　　　　　　　　　　　　　　　　ふくりゅうする　　　　　　　　　　　　　,D 4.     ,
膨れ上がる　　　　　　　　　　　　　　　ふくれあがる　　　　　　　　　　　　　　,D R.  N  ,
膨れ面する　　　　　　　　　　　　　　　ふくれづらする　　　　　　　　　　　　　,D 4.  N  ,
膨れる　　　　　　　　　　　　　　　　　ふくれる　　　　　　　　　　　　　　　　,D 1.   M ,
袋小路に陥る　　　　　　　　　　　　　　ふくろこうじにおちいる　　　　　　　　　,D R.  N  ,
袋だたきに遭う　　　　　　　　　　　　　ふくろだたきにあう　　　　　　　　　　　,D W.  N  ,
袋詰めする　　　　　　　　　　　　　　　ふくろづめする　　　　　　　　　　　　　,D 4.   I ,
袋縫いする　　　　　　　　　　　　　　　ふくろぬいする　　　　　　　　　　　　　,D 4.   I ,
袋張りする　　　　　　　　　　　　　　　ふくろはりする　　　　　　　　　　　　　,D 4.   I ,
福分けする　　　　　　　　　　　　　　　ふくわけする　　　　　　　　　　　　　　,D 4.   I ,
老け込む　　　　　　　　　　　　　　　　ふけこむ　　　　　　　　　　　　　　　　,D M.  N  ,
老ける　　　　　　　　　　　　　　　　　ふける　　　　　　　　　　　　　　　　　,D 1.  N  ,
ふける　　　　　　　　　　　　　　　　　ふける　　　　　　　　　　　　　　　　　,D 1.     ,
付言する　　　　　　　　　　　　　　　　ふげんする　　　　　　　　　　　　　　　,D 4.   I ,
符合する　　　　　　　　　　　　　　　　ふごうする　　　　　　　　　　　　　　　,D 4.   M ,
不幸に不幸が重なる　　　　　　　　　　　ふこうにふこうがかさなる　　　　　　　　,D R.  N  ,
不幸に不幸の重なる　　　　　　　　　　　ふこうにふこうのかさなる　　　　　　　　,D R.  N  ,
布告する　　　　　　　　　　　　　　　　ふこくする　　　　　　　　　　　　　　　,D 4.   I ,
付載する　　　　　　　　　　　　　　　　ふさいする　　　　　　　　　　　　　　　,D 4.   I ,
ふさがる　　　　　　　　　　　　　　　　ふさがる　　　　　　　　　　　　　　　　,D R.   M ,
ふさぎ込む　　　　　　　　　　　　　　　ふさぎこむ　　　　　　　　　　　　　　　,D M.  N  ,
ふさぐ　　　　　　　　　　　　　　　　　ふさぐ　　　　　　　　　　　　　　　　　,D G.   I ,
ふざける　　　　　　　　　　　　　　　　ふざける　　　　　　　　　　　　　　　　,D 1.  NI ,
不参する　　　　　　　　　　　　　　　　ふさんする　　　　　　　　　　　　　　　,D 4.   I ,
不思議がる　　　　　　　　　　　　　　　ふしぎがる　　　　　　　　　　　　　　　,D R.   I ,
節くれ立つ　　　　　　　　　　　　　　　ふしくれだつ　　　　　　　　　　　　　　,D T.   M ,
伏し沈む　　　　　　　　　　　　　　　　ふししずむ　　　　　　　　　　　　　　　,D M.  N  ,
不時着する　　　　　　　　　　　　　　　ふじちゃくする　　　　　　　　　　　　　,D 4.  NI ,
節づけする　　　　　　　　　　　　　　　ふしづけする　　　　　　　　　　　　　　,D 4.     ,
伏して拝む　　　　　　　　　　　　　　　ふしておがむ　　　　　　　　　　　　　　,D M.     ,
節目を刻む　　　　　　　　　　　　　　　ふしめをきざむ　　　　　　　　　　　　　,D M.     ,
付臭する　　　　　　　　　　　　　　　　ふしゅうする　　　　　　　　　　　　　　,D 4.     ,
不自由する　　　　　　　　　　　　　　　ふじゆうする　　　　　　　　　　　　　　,D 4.  N  ,
不首尾に終わる　　　　　　　　　　　　　ふしゅびにおわる　　　　　　　　　　　　,D R.  N  ,
不首尾になる　　　　　　　　　　　　　　ふしゅびになる　　　　　　　　　　　　　,D R.  N  ,
負傷する　　　　　　　　　　　　　　　　ふしょうする　　　　　　　　　　　　　　,D 4.  NM ,
浮上する　　　　　　　　　　　　　　　　ふじょうする　　　　　　　　　　　　　　,D 4.  PM ,
無精する　　　　　　　　　　　　　　　　ぶしょうする　　　　　　　　　　　　　　,D 4.  NM ,
腐食する　　　　　　　　　　　　　　　　ふしょくする　　　　　　　　　　　　　　,D 4.  NM ,
腐植する　　　　　　　　　　　　　　　　ふしょくする　　　　　　　　　　　　　　,D 4.     ,
侮辱する　　　　　　　　　　　　　　　　ぶじょくする　　　　　　　　　　　　　　,D 4.  NI ,
扶助する　　　　　　　　　　　　　　　　ふじょする　　　　　　　　　　　　　　　,D 4.   I ,
不審がる　　　　　　　　　　　　　　　　ふしんがる　　　　　　　　　　　　　　　,D R.  NI ,
腐心する　　　　　　　　　　　　　　　　ふしんする　　　　　　　　　　　　　　　,D 4.  NI ,
普請する　　　　　　　　　　　　　　　　ふしんする　　　　　　　　　　　　　　　,D 4.   I ,
不審する　　　　　　　　　　　　　　　　ふしんする　　　　　　　　　　　　　　　,D R.  NI ,
布陣する　　　　　　　　　　　　　　　　ふじんする　　　　　　　　　　　　　　　,D 4.   I ,
不振に陥る　　　　　　　　　　　　　　　ふしんにおちいる　　　　　　　　　　　　,D R.  NI ,
不信の念を抱く　　　　　　　　　　　　　ふしんのねんをいだく　　　　　　　　　　,D K.  NI ,
不寝番する　　　　　　　　　　　　　　　ふしんばんする　　　　　　　　　　　　　,D 4.   I ,
不信を抱く　　　　　　　　　　　　　　　ふしんをいだく　　　　　　　　　　　　　,D K.  N  ,
伏す　　　　　　　　　　　　　　　　　　ふす　　　　　　　　　　　　　　　　　　,D S.   I ,
付す　　　　　　　　　　　　　　　　　　ふす　　　　　　　　　　　　　　　　　　,D S.   I ,
付随する　　　　　　　　　　　　　　　　ふずいする　　　　　　　　　　　　　　　,D 4.   M ,
ふすぶる　　　　　　　　　　　　　　　　ふすぶる　　　　　　　　　　　　　　　　,D R.  N  ,
ふすまが焼ける　　　　　　　　　　　　　ふすまがやける　　　　　　　　　　　　　,D 1.  N  ,
付する　　　　　　　　　　　　　　　　　ふする　　　　　　　　　　　　　　　　　,D 5.   I ,
防ぎ止める　　　　　　　　　　　　　　　ふせぎとめる　　　　　　　　　　　　　　,D 1.  PI ,
布石を打つ　　　　　　　　　　　　　　　ふせきをうつ　　　　　　　　　　　　　　,D T.     ,
防ぐ　　　　　　　　　　　　　　　　　　ふせぐ　　　　　　　　　　　　　　　　　,D G.  PI ,
敷設する　　　　　　　　　　　　　　　　ふせつする　　　　　　　　　　　　　　　,D 4.   I ,
付設する　　　　　　　　　　　　　　　　ふせつする　　　　　　　　　　　　　　　,D 4.   I ,
不摂生する　　　　　　　　　　　　　　　ふせっせいする　　　　　　　　　　　　　,D 4.  NM ,
符節を合わせる　　　　　　　　　　　　　ふせつをあわせる　　　　　　　　　　　　,D 1.     ,
伏せ縫いする　　　　　　　　　　　　　　ふせぬいする　　　　　　　　　　　　　　,D 4.     ,
伏せる　　　　　　　　　　　　　　　　　ふせる　　　　　　　　　　　　　　　　　,D 1.   I ,
浮選する　　　　　　　　　　　　　　　　ふせんする　　　　　　　　　　　　　　　,D 4.     ,
武装する　　　　　　　　　　　　　　　　ぶそうする　　　　　　　　　　　　　　　,D 4.   I ,
不足する　　　　　　　　　　　　　　　　ふそくする　　　　　　　　　　　　　　　,D 4.  NM ,
付属する　　　　　　　　　　　　　　　　ふぞくする　　　　　　　　　　　　　　　,D 4.   M ,
布存する　　　　　　　　　　　　　　　　ふそんする　　　　　　　　　　　　　　　,D 4.     ,
ふた開けする　　　　　　　　　　　　　　ふたあけする　　　　　　　　　　　　　　,D 4.     ,
不胎化する　　　　　　　　　　　　　　　ふたいかする　　　　　　　　　　　　　　,D 4.     ,
舞台が調う　　　　　　　　　　　　　　　ぶたいがととのう　　　　　　　　　　　　,D W.  P  ,
付帯する　　　　　　　　　　　　　　　　ふたいする　　　　　　　　　　　　　　　,D 4.   M ,
舞台作りする　　　　　　　　　　　　　　ぶたいづくりする　　　　　　　　　　　　,D 4.     ,
舞台に穴が開く　　　　　　　　　　　　　ぶたいにあながあく　　　　　　　　　　　,D K.  N  ,
舞台に穴を開ける　　　　　　　　　　　　ぶたいにあなをあける　　　　　　　　　　,D 1.  N  ,
舞台に立つ　　　　　　　　　　　　　　　ぶたいにたつ　　　　　　　　　　　　　　,D T.     ,
負託する　　　　　　　　　　　　　　　　ふたくする　　　　　　　　　　　　　　　,D 4.     ,
付託する　　　　　　　　　　　　　　　　ふたくする　　　　　　　　　　　　　　　,D 4.   I ,
ふたする　　　　　　　　　　　　　　　　ふたする　　　　　　　　　　　　　　　　,D 4.   I ,
二つ折りする　　　　　　　　　　　　　　ふたつおりする　　　　　　　　　　　　　,D 4.   I ,
二つ切りする　　　　　　　　　　　　　　ふたつぎりする　　　　　　　　　　　　　,D 4.   I ,
布達する　　　　　　　　　　　　　　　　ふたつする　　　　　　　　　　　　　　　,D 4.     ,
二つに一つ　　　　　　　　　　　　　　　ふたつにひとつ　　　　　　　　　　　　　,D T.     ,
二つ分けする　　　　　　　　　　　　　　ふたつわけする　　　　　　　　　　　　　,D 4.     ,
部立てする　　　　　　　　　　　　　　　ぶだてする　　　　　　　　　　　　　　　,D 4.     ,
札止めする　　　　　　　　　　　　　　　ふだどめする　　　　　　　　　　　　　　,D 4.  NM ,
二また掛ける　　　　　　　　　　　　　　ふたまたかける　　　　　　　　　　　　　,D 1.  N  ,
二またを掛ける　　　　　　　　　　　　　ふたまたをかける　　　　　　　　　　　　,D 1.  N  ,
豚もおだてりゃ木に登る　　　　　　　　　ぶたもおだてりゃきにのぼる　　　　　　　,D R.     ,
二人乗りする　　　　　　　　　　　　　　ふたりのりする　　　　　　　　　　　　　,D 4.     ,
ふたを開ける　　　　　　　　　　　　　　ふたをあける　　　　　　　　　　　　　　,D 1.     ,
負担する　　　　　　　　　　　　　　　　ふたんする　　　　　　　　　　　　　　　,D 4.  NI ,
ぶち上げる　　　　　　　　　　　　　　　ぶちあげる　　　　　　　　　　　　　　　,D 1.   I ,
ぶち当たる　　　　　　　　　　　　　　　ぶちあたる　　　　　　　　　　　　　　　,D R.  N  ,
ぶち当てる　　　　　　　　　　　　　　　ぶちあてる　　　　　　　　　　　　　　　,D 1.     ,
縁かがりする　　　　　　　　　　　　　　ふちかがりする　　　　　　　　　　　　　,D 4.     ,
ぶちかます　　　　　　　　　　　　　　　ぶちかます　　　　　　　　　　　　　　　,D S.  NI ,
ブチギレする　　　　　　　　　　　　　　ぶちぎれする　　　　　　　　　　　　　　,D 4.  N  ,
ブチぎれする　　　　　　　　　　　　　　ぶちぎれする　　　　　　　　　　　　　　,D 4.  NM ,
ブチぎれる　　　　　　　　　　　　　　　ぶちぎれる　　　　　　　　　　　　　　　,D 1.  N  ,
ぶち切れる　　　　　　　　　　　　　　　ぶちぎれる　　　　　　　　　　　　　　　,D 1.     ,
ぶち込む　　　　　　　　　　　　　　　　ぶちこむ　　　　　　　　　　　　　　　　,D M.  N  ,
ぶち殺す　　　　　　　　　　　　　　　　ぶちころす　　　　　　　　　　　　　　　,D S.  NI ,
ぶち壊す　　　　　　　　　　　　　　　　ぶちこわす　　　　　　　　　　　　　　　,D S.  NI ,
扶持する　　　　　　　　　　　　　　　　ふちする　　　　　　　　　　　　　　　　,D 4.     ,
縁取る　　　　　　　　　　　　　　　　　ふちどる　　　　　　　　　　　　　　　　,D R.   I ,
縁縫いする　　　　　　　　　　　　　　　ふちぬいする　　　　　　　　　　　　　　,D 4.     ,
ぶち抜く　　　　　　　　　　　　　　　　ぶちぬく　　　　　　　　　　　　　　　　,D K.  NI ,
ぶちのめす　　　　　　　　　　　　　　　ぶちのめす　　　　　　　　　　　　　　　,D S.  NI ,
ぶちまける　　　　　　　　　　　　　　　ぶちまける　　　　　　　　　　　　　　　,D 1.  NI ,
付着する　　　　　　　　　　　　　　　　ふちゃくする　　　　　　　　　　　　　　,D 4.   M ,
ぶち破る　　　　　　　　　　　　　　　　ぶちやぶる　　　　　　　　　　　　　　　,D R.     ,
付注する　　　　　　　　　　　　　　　　ふちゅうする　　　　　　　　　　　　　　,D 4.     ,
部長扱いする　　　　　　　　　　　　　　ぶちょうあつかいする　　　　　　　　　　,D 4.   I ,
符丁売りする　　　　　　　　　　　　　　ふちょううりする　　　　　　　　　　　　,D 4.     ,
浮沈する　　　　　　　　　　　　　　　　ふちんする　　　　　　　　　　　　　　　,D 4.   M ,
ぶつ　　　　　　　　　　　　　　　　　　ぶつ　　　　　　　　　　　　　　　　　　,D T.   I ,
ぶっ欠く　　　　　　　　　　　　　　　　ぶっかく　　　　　　　　　　　　　　　　,D K.  N  ,
吹っ掛ける　　　　　　　　　　　　　　　ふっかける　　　　　　　　　　　　　　　,D 1.   I ,
ぶっ掛ける　　　　　　　　　　　　　　　ぶっかける　　　　　　　　　　　　　　　,D 1.   I ,
復活する　　　　　　　　　　　　　　　　ふっかつする　　　　　　　　　　　　　　,D 4.  PM ,
二日酔いする　　　　　　　　　　　　　　ふつかよいする　　　　　　　　　　　　　,D 4.  NM ,
ぶつかり合いする　　　　　　　　　　　　ぶつかりあいする　　　　　　　　　　　　,D 4.  N  ,
ぶつかり合う　　　　　　　　　　　　　　ぶつかりあう　　　　　　　　　　　　　　,D W.  N  ,
ぶつかる　　　　　　　　　　　　　　　　ぶつかる　　　　　　　　　　　　　　　　,D R.   M ,
復刊する　　　　　　　　　　　　　　　　ふっかんする　　　　　　　　　　　　　　,D 4.  PI ,
復帰する　　　　　　　　　　　　　　　　ふっきする　　　　　　　　　　　　　　　,D 4.  PI ,
復旧する　　　　　　　　　　　　　　　　ふっきゅうする　　　　　　　　　　　　　,D 4.  P  ,
ぶつ切りする　　　　　　　　　　　　　　ぶつぎりする　　　　　　　　　　　　　　,D 4.     ,
吹っ切る　　　　　　　　　　　　　　　　ふっきる　　　　　　　　　　　　　　　　,D R.     ,
吹っ切れる　　　　　　　　　　　　　　　ふっきれる　　　　　　　　　　　　　　　,D 1.  PM ,
物議を醸す　　　　　　　　　　　　　　　ぶつぎをかもす　　　　　　　　　　　　　,D S.  N  ,
ブッキングする　　　　　　　　　　　　　ぶっきんぐする　　　　　　　　　　　　　,D 4.     ,
吹っ消す　　　　　　　　　　　　　　　　ふっけす　　　　　　　　　　　　　　　　,D S.     ,
ぶつける　　　　　　　　　　　　　　　　ぶつける　　　　　　　　　　　　　　　　,D 1.   I ,
復権する　　　　　　　　　　　　　　　　ふっけんする　　　　　　　　　　　　　　,D 4.  P  ,
復航する　　　　　　　　　　　　　　　　ふっこうする　　　　　　　　　　　　　　,D 4.   I ,
復交する　　　　　　　　　　　　　　　　ふっこうする　　　　　　　　　　　　　　,D 4.  PI ,
復興する　　　　　　　　　　　　　　　　ふっこうする　　　　　　　　　　　　　　,D 4.  PM ,
復刻する　　　　　　　　　　　　　　　　ふっこくする　　　　　　　　　　　　　　,D 4.  PI ,
復古する　　　　　　　　　　　　　　　　ふっこする　　　　　　　　　　　　　　　,D 4.   M ,
物故する　　　　　　　　　　　　　　　　ぶっこする　　　　　　　　　　　　　　　,D 4.   M ,
ぶっ込む　　　　　　　　　　　　　　　　ぶっこむ　　　　　　　　　　　　　　　　,D M.   I ,
ぶっ殺す　　　　　　　　　　　　　　　　ぶっころす　　　　　　　　　　　　　　　,D S.  NI ,
ぶっ壊す　　　　　　　　　　　　　　　　ぶっこわす　　　　　　　　　　　　　　　,D S.  NI ,
ぶっ壊れる　　　　　　　　　　　　　　　ぶっこわれる　　　　　　　　　　　　　　,D 1.  NM ,
プッシュする　　　　　　　　　　　　　　ぷっしゅする　　　　　　　　　　　　　　,D 4.  PI ,
物色買いする　　　　　　　　　　　　　　ぶっしょくがいする　　　　　　　　　　　,D 4.   I ,
払拭する　　　　　　　　　　　　　　　　ふっしょくする　　　　　　　　　　　　　,D 4.  PI ,
物色する　　　　　　　　　　　　　　　　ぶっしょくする　　　　　　　　　　　　　,D 4.   I ,
ぶっ倒す　　　　　　　　　　　　　　　　ぶったおす　　　　　　　　　　　　　　　,D S.  NI ,
ぶっ倒れる　　　　　　　　　　　　　　　ぶったおれる　　　　　　　　　　　　　　,D 1.  NM ,
ぶった切る　　　　　　　　　　　　　　　ぶったぎる　　　　　　　　　　　　　　　,D R.  NI ,
ぶったくる　　　　　　　　　　　　　　　ぶったくる　　　　　　　　　　　　　　　,D R.  N  ,
ぶったまげる　　　　　　　　　　　　　　ぶったまげる　　　　　　　　　　　　　　,D 1.   M ,
ぶっち切る　　　　　　　　　　　　　　　ぶっちぎる　　　　　　　　　　　　　　　,D R.     ,
ぶっ散らかす　　　　　　　　　　　　　　ぶっちらかす　　　　　　　　　　　　　　,D S.  NI ,
ぶっつかる　　　　　　　　　　　　　　　ぶっつかる　　　　　　　　　　　　　　　,D R.   I ,
ぶっつける　　　　　　　　　　　　　　　ぶっつける　　　　　　　　　　　　　　　,D 1.   I ,
ぶっつぶす　　　　　　　　　　　　　　　ぶっつぶす　　　　　　　　　　　　　　　,D S.  NI ,
ぶっつぶれる　　　　　　　　　　　　　　ぶっつぶれる　　　　　　　　　　　　　　,D 1.  NM ,
払底する　　　　　　　　　　　　　　　　ふっていする　　　　　　　　　　　　　　,D 4.   M ,
降って湧く　　　　　　　　　　　　　　　ふってわく　　　　　　　　　　　　　　　,D K.     ,
沸騰する　　　　　　　　　　　　　　　　ふっとうする　　　　　　　　　　　　　　,D 4.   M ,
ぶっ通す　　　　　　　　　　　　　　　　ぶっとおす　　　　　　　　　　　　　　　,D S.   I ,
ふっ飛ばす　　　　　　　　　　　　　　　ふっとばす　　　　　　　　　　　　　　　,D S.   I ,
吹っ飛ぶ　　　　　　　　　　　　　　　　ふっとぶ　　　　　　　　　　　　　　　　,D B.   M ,
フットボールする　　　　　　　　　　　　ふっとぼーるする　　　　　　　　　　　　,D 4.     ,
フットライトを浴びる　　　　　　　　　　ふっとらいとをあびる　　　　　　　　　　,D 1.  P  ,
物納する　　　　　　　　　　　　　　　　ぶつのうする　　　　　　　　　　　　　　,D 4.   I ,
ぶっ放す　　　　　　　　　　　　　　　　ぶっぱなす　　　　　　　　　　　　　　　,D S.  NI ,
物々交換する　　　　　　　　　　　　　　ぶつぶつこうかんする　　　　　　　　　　,D 4.   I ,
歩積みする　　　　　　　　　　　　　　　ぶづみする　　　　　　　　　　　　　　　,D 4.   I ,
仏訳する　　　　　　　　　　　　　　　　ふつやくする　　　　　　　　　　　　　　,D 4.   I ,
筆下ろしする　　　　　　　　　　　　　　ふでおろしする　　　　　　　　　　　　　,D 4.     ,
筆が荒れる　　　　　　　　　　　　　　　ふでがあれる　　　　　　　　　　　　　　,D 1.  N  ,
筆がさえる　　　　　　　　　　　　　　　ふでがさえる　　　　　　　　　　　　　　,D 1.  P  ,
筆が進む　　　　　　　　　　　　　　　　ふでがすすむ　　　　　　　　　　　　　　,D M.  P  ,
筆が滑る　　　　　　　　　　　　　　　　ふでがすべる　　　　　　　　　　　　　　,D R.  N  ,
筆が立つ　　　　　　　　　　　　　　　　ふでがたつ　　　　　　　　　　　　　　　,D T.  P  ,
筆が入る　　　　　　　　　　　　　　　　ふでがはいる　　　　　　　　　　　　　　,D R.     ,
筆が運ぶ　　　　　　　　　　　　　　　　ふでがはこぶ　　　　　　　　　　　　　　,D B.  P  ,
筆が走る　　　　　　　　　　　　　　　　ふでがはしる　　　　　　　　　　　　　　,D R.     ,
不手際を演じる　　　　　　　　　　　　　ふてぎわをえんじる　　　　　　　　　　　,D 1.  N  ,
ふて腐れる　　　　　　　　　　　　　　　ふてくされる　　　　　　　　　　　　　　,D 1.  NM ,
筆に任せる　　　　　　　　　　　　　　　ふでにまかせる　　　　　　　　　　　　　,D 1.     ,
ふて寝する　　　　　　　　　　　　　　　ふてねする　　　　　　　　　　　　　　　,D 4.  NI ,
ふてる　　　　　　　　　　　　　　　　　ふてる　　　　　　　　　　　　　　　　　,D 1.  N  ,
筆を入れる　　　　　　　　　　　　　　　ふでをいれる　　　　　　　　　　　　　　,D 1.     ,
筆を置く　　　　　　　　　　　　　　　　ふでをおく　　　　　　　　　　　　　　　,D K.     ,
筆を起こす　　　　　　　　　　　　　　　ふでをおこす　　　　　　　　　　　　　　,D S.     ,
筆を折る　　　　　　　　　　　　　　　　ふでをおる　　　　　　　　　　　　　　　,D R.     ,
筆を下ろす　　　　　　　　　　　　　　　ふでをおろす　　　　　　　　　　　　　　,D S.     ,
筆を加える　　　　　　　　　　　　　　　ふでをくわえる　　　　　　　　　　　　　,D 1.     ,
筆を進める　　　　　　　　　　　　　　　ふでをすすめる　　　　　　　　　　　　　,D 1.     ,
筆を染める　　　　　　　　　　　　　　　ふでをそめる　　　　　　　　　　　　　　,D 1.     ,
筆を絶つ　　　　　　　　　　　　　　　　ふでをたつ　　　　　　　　　　　　　　　,D T.  N  ,
筆を取る　　　　　　　　　　　　　　　　ふでをとる　　　　　　　　　　　　　　　,D R.     ,
筆を投げる　　　　　　　　　　　　　　　ふでをなげる　　　　　　　　　　　　　　,D 1.  N  ,
筆をはこばせる　　　　　　　　　　　　　ふでをはこばせる　　　　　　　　　　　　,D 1.     ,
筆を運ぶ　　　　　　　　　　　　　　　　ふでをはこぶ　　　　　　　　　　　　　　,D B.     ,
筆を走らせる　　　　　　　　　　　　　　ふでをはしらせる　　　　　　　　　　　　,D 1.     ,
筆を振るう　　　　　　　　　　　　　　　ふでをふるう　　　　　　　　　　　　　　,D W.     ,
不動化する　　　　　　　　　　　　　　　ふどうかする　　　　　　　　　　　　　　,D 4.     ,
浮動する　　　　　　　　　　　　　　　　ふどうする　　　　　　　　　　　　　　　,D 4.   M ,
舞踏する　　　　　　　　　　　　　　　　ぶとうする　　　　　　　　　　　　　　　,D 4.   I ,
懐が暖まる　　　　　　　　　　　　　　　ふところがあたたまる　　　　　　　　　　,D R.  P  ,
懐が痛む　　　　　　　　　　　　　　　　ふところがいたむ　　　　　　　　　　　　,D M.  N  ,
懐にする　　　　　　　　　　　　　　　　ふところにする　　　　　　　　　　　　　,D 5.     ,
懐を痛める　　　　　　　　　　　　　　　ふところをいためる　　　　　　　　　　　,D 1.  N  ,
懐を肥やす　　　　　　　　　　　　　　　ふところをこやす　　　　　　　　　　　　,D S.  N  ,
懐を見透かす　　　　　　　　　　　　　　ふところをみすかす　　　　　　　　　　　,D S.     ,
太る　　　　　　　　　　　　　　　　　　ふとる　　　　　　　　　　　　　　　　　,D R.  NI ,
布団蒸しする　　　　　　　　　　　　　　ふとんむしする　　　　　　　　　　　　　,D 4.     ,
船遊びする　　　　　　　　　　　　　　　ふなあそびする　　　　　　　　　　　　　,D 4.   I ,
舟遊びする　　　　　　　　　　　　　　　ふなあそびする　　　　　　　　　　　　　,D 4.   I ,
舟がかりする　　　　　　　　　　　　　　ふながかりする　　　　　　　　　　　　　,D 4.     ,
舟涼みする　　　　　　　　　　　　　　　ふなすずみする　　　　　　　　　　　　　,D 4.     ,
船旅する　　　　　　　　　　　　　　　　ふなたびする　　　　　　　　　　　　　　,D 4.   I ,
船積みする　　　　　　　　　　　　　　　ふなづみする　　　　　　　　　　　　　　,D 4.   I ,
船出する　　　　　　　　　　　　　　　　ふなでする　　　　　　　　　　　　　　　,D 4.   I ,
船留めする　　　　　　　　　　　　　　　ふなどめする　　　　　　　　　　　　　　,D 4.     ,
船待ちする　　　　　　　　　　　　　　　ふなまちする　　　　　　　　　　　　　　,D 4.     ,
船酔いする　　　　　　　　　　　　　　　ふなよいする　　　　　　　　　　　　　　,D 4.  NM ,
船渡しする　　　　　　　　　　　　　　　ふなわたしする　　　　　　　　　　　　　,D 4.   I ,
赴任する　　　　　　　　　　　　　　　　ふにんする　　　　　　　　　　　　　　　,D 4.   I ,
船山に登る　　　　　　　　　　　　　　　ふねやまにのぼる　　　　　　　　　　　　,D R.     ,
舟をこぐ　　　　　　　　　　　　　　　　ふねをこぐ　　　　　　　　　　　　　　　,D G.     ,
腐敗する　　　　　　　　　　　　　　　　ふはいする　　　　　　　　　　　　　　　,D 4.  NM ,
不発に終わる　　　　　　　　　　　　　　ふはつにおわる　　　　　　　　　　　　　,D R.  N  ,
歩引きする　　　　　　　　　　　　　　　ぶびきする　　　　　　　　　　　　　　　,D 4.   I ,
分引きする　　　　　　　　　　　　　　　ぶびきする　　　　　　　　　　　　　　　,D 4.   I ,
不評を買う　　　　　　　　　　　　　　　ふひょうをかう　　　　　　　　　　　　　,D W.  N  ,
不憫がる　　　　　　　　　　　　　　　　ふびんがる　　　　　　　　　　　　　　　,D R.  NI ,
ふぶく　　　　　　　　　　　　　　　　　ふぶく　　　　　　　　　　　　　　　　　,D K.   M ,
不平を鳴らす　　　　　　　　　　　　　　ふへいをならす　　　　　　　　　　　　　,D S.  N  ,
不平を並べる　　　　　　　　　　　　　　ふへいをならべる　　　　　　　　　　　　,D 1.  N  ,
侮蔑する　　　　　　　　　　　　　　　　ぶべつする　　　　　　　　　　　　　　　,D 4.  NI ,
歩減りする　　　　　　　　　　　　　　　ぶべりする　　　　　　　　　　　　　　　,D 4.   M ,
付保する　　　　　　　　　　　　　　　　ふほする　　　　　　　　　　　　　　　　,D 4.   I ,
踏まえる　　　　　　　　　　　　　　　　ふまえる　　　　　　　　　　　　　　　　,D 1.   I ,
踏ます　　　　　　　　　　　　　　　　　ふます　　　　　　　　　　　　　　　　　,D S.   I ,
不満が爆発する　　　　　　　　　　　　　ふまんがばくはつする　　　　　　　　　　,D 4.  N  ,
不満の爆発する　　　　　　　　　　　　　ふまんのばくはつする　　　　　　　　　　,D 4.  N  ,
踏み荒らす　　　　　　　　　　　　　　　ふみあらす　　　　　　　　　　　　　　　,D S.  NI ,
踏み入る　　　　　　　　　　　　　　　　ふみいる　　　　　　　　　　　　　　　　,D R.     ,
踏み入れる　　　　　　　　　　　　　　　ふみいれる　　　　　　　　　　　　　　　,D 1.     ,
踏み替える　　　　　　　　　　　　　　　ふみかえる　　　　　　　　　　　　　　　,D 1.   I ,
踏み固める　　　　　　　　　　　　　　　ふみかためる　　　　　　　　　　　　　　,D 1.   I ,
踏み切る　　　　　　　　　　　　　　　　ふみきる　　　　　　　　　　　　　　　　,D R.     ,
踏み砕く　　　　　　　　　　　　　　　　ふみくだく　　　　　　　　　　　　　　　,D K.   I ,
踏み越える　　　　　　　　　　　　　　　ふみこえる　　　　　　　　　　　　　　　,D 1.   I ,
